# Starting test run
x y points n_ticks consumed_balls
128 196 26 4578 13
509 276 33 4177 15
33 147 12 1700 6
427 77 28 4195 14
260 9 28 5286 14
422 175 31 3675 15
89 234 20 2474 10
471 256 24 3289 12
90 249 22 4897 11
769 208 28 3314 14
767 320 16 2606 8
89 156 31 4942 14
512 247 22 3698 11
154 48 22 3379 11
293 80 22 4507 11
159 167 28 3182 14
329 304 30 3554 15
182 192 26 3787 13
736 73 24 3491 12
260 126 26 3763 13
366 460 26 3394 13
518 500 26 3729 13
695 589 0 1000 0
407 281 26 3674 13
275 336 26 2680 13
278 90 32 4318 14
181 581 20 3906 10
602 276 22 3284 11
31 519 28 4038 14
678 449 25 3121 12
111 83 18 3450 9
391 569 27 5129 13
268 531 24 3977 12
385 40 22 3421 11
717 68 26 2208 12
730 534 20 2786 10
51 578 24 5531 11
345 47 20 2984 10
408 235 28 3722 14
193 34 20 3497 10
260 186 25 5023 12
789 10 2 1354 1
777 122 6 1646 3
640 100 23 3403 11
311 328 20 2543 10
251 27 18 3095 9
611 394 26 3875 13
681 523 34 4635 15
140 456 28 3808 14
83 0 0 1000 0
317 184 20 3397 10
474 137 22 2854 11
275 125 29 5028 14
136 533 22 3442 11
305 12 22 3419 11
776 143 22 3318 11
41 265 20 2684 10
366 559 26 4832 12
292 44 24 2634 12
791 494 2 1728 1
788 8 0 1000 0
569 417 28 3477 14
74 440 22 2796 11
204 531 22 4000 11
213 478 29 3469 14
266 482 30 4215 15
205 445 22 3605 11
764 444 25 3057 12
324 325 26 3396 13
103 286 30 3824 14
52 23 24 3601 11
742 370 28 4789 14
431 229 2 1260 1
740 550 16 2953 8
83 479 26 2445 13
781 364 20 4195 10
743 152 18 3466 9
559 168 26 3529 13
651 154 32 3377 16
580 33 14 1651 7
139 312 26 3730 13
720 93 33 5504 15
159 76 20 3011 10
482 256 26 2088 13
50 333 28 6381 13
99 46 0 1000 0
151 274 26 3607 13
366 21 24 3595 12
293 301 32 4045 16
650 391 26 2430 13
516 199 31 4403 15
66 524 30 5317 14
36 464 26 2387 13
258 459 26 3195 13
291 412 22 2538 11
459 351 24 4275 12
642 354 24 3255 12
441 187 31 5326 15
726 186 30 4273 15
204 307 28 4903 13
157 25 24 3166 11
768 438 20 3286 10
431 315 30 4437 15
605 202 24 4919 12
177 491 18 2494 9
780 386 29 3889 14
337 3 12 2191 6
37 12 2 1070 1
3 586 18 4705 9
249 310 24 2965 12
709 89 28 4339 13
493 351 18 2903 9
441 584 2 1089 1
487 183 29 3841 14
633 462 26 3389 13
113 328 24 2941 12
78 241 18 3770 9
352 281 33 3171 16
45 197 20 3250 10
411 159 28 2781 14
235 348 6 1714 3
366 391 26 4059 13
452 112 30 3076 15
89 105 30 3043 15
536 416 22 3594 11
620 442 24 3870 12
468 530 23 5238 11
554 574 22 2684 11
721 183 20 2757 10
285 305 26 2978 13
659 572 12 3099 6
672 311 24 3044 12
216 564 22 3737 11
343 486 33 3773 16
750 523 18 3345 9
384 429 30 3273 15
512 572 26 3404 13
167 507 26 4371 13
512 51 28 3542 14
273 441 28 5048 14
641 226 26 3032 13
731 260 22 4010 10
397 590 10 3040 5
413 103 22 3342 11
719 391 30 3529 15
498 508 28 4342 13
242 237 24 2528 12
346 319 28 3595 14
350 565 28 4918 13
527 129 33 4505 14
245 528 6 2652 3
749 285 19 3921 9
379 520 18 4139 9
448 378 29 6759 13
47 212 20 3583 10
770 299 10 2962 5
