# Starting test run
x y points n_ticks consumed_balls
110 199 171974 1273 985
2 375 79815 1186 979
194 429 28841 1245 992
9 565 293065 1253 983
233 453 36260 1225 989
343 131 22110 1235 986
685 384 69052 1401 984
434 164 21831 1237 985
68 391 72649 1228 979
390 511 28364 1251 987
761 269 80005 1248 983
482 345 23479 1294 982
244 88 31717 1235 983
532 175 59689 1292 982
613 89 60552 1322 985
203 516 71094 1374 981
394 211 22906 1153 980
776 497 146687 1240 986
582 154 49178 1204 990
676 394 71173 1181 985
770 310 144356 1207 987
279 94 35279 1208 987
648 521 64980 1216 979
186 58 53214 1257 986
295 377 27071 1157 984
51 494 111847 1163 985
68 533 199980 1219 991
262 498 67593 1221 969
398 469 22604 1223 980
621 553 44082 1191 980
690 471 118363 1256 986
549 528 51340 1248 986
516 512 38405 1167 989
246 0 57533 1209 986
624 353 36774 1288 990
720 577 69442 1208 991
535 39 130542 1285 985
720 255 73659 1184 982
749 116 143887 1229 984
98 410 114826 1164 979
690 147 101741 1207 985
387 387 18885 1226 995
633 434 28922 1188 973
549 458 25847 1205 993
333 91 28492 1195 984
355 177 24277 1204 991
756 390 72085 1223 990
259 284 32463 1191 982
30 393 153664 1290 981
656 109 61815 1256 974
473 308 31779 1265 987
130 74 67732 1167 985
592 43 66654 1324 984
4 150 160552 1207 985
132 280 50929 1265 986
697 525 82614 1211 983
268 227 21942 1334 981
409 516 28064 1163 984
391 209 21263 1233 989
488 404 18471 1160 968
189 599 54498 1173 988
738 317 55138 1341 992
413 406 27455 1229 980
547 10 35987 1210 988
674 265 87426 1204 987
366 464 49995 1206 981
600 187 29543 1179 984
597 481 38912 1194 986
773 174 124446 1188 984
427 225 16483 1232 982
178 108 62871 1151 988
280 563 59095 1203 974
99 46 119366 1207 989
614 506 57469 1203 981
80 451 129496 1261 983
172 590 102209 1233 985
406 172 27903 1199 989
743 47 158855 1214 989
391 470 17793 1231 987
224 472 40458 1260 981
683 557 111810 1183 972
424 294 17875 1366 976
672 496 82818 1279 990
506 337 23498 1159 980
565 301 27155 1188 979
294 171 30619 1237 987
119 139 158663 1178 982
386 49 69744 1169 987
635 277 24899 1231 980
195 273 34344 1187 982
168 312 89589 1220 991
38 260 99085 1138 985
743 485 82365 1204 991
316 433 23243 1242 982
99 504 82779 1202 984
166 597 84489 1241 986
347 114 30372 1196 992
130 5 133598 1287 986
537 335 17474 1197 981
208 544 58257 1214 985
700 90 53604 1215 980
396 341 22124 1287 987
2 305 173995 1192 981
448 55 40356 1187 988
198 34 45738 1178 982
258 375 18459 1194 991
107 186 96426 1218 985
91 10 97484 1179 987
498 416 18731 1255 979
319 128 25419 1207 989
534 466 26482 1299 988
244 444 26736 1219 983
372 102 52675 1145 982
301 209 23234 1338 975
606 315 40632 1185 983
84 114 85127 1206 988
5 333 113701 1278 983
627 414 29886 1237 982
362 331 14379 1249 980
780 327 66167 1304 984
407 190 28643 1200 987
602 272 22425 1249 981
343 19 46361 1155 977
746 89 284227 1201 982
3 265 154035 1211 988
83 287 88769 1232 979
699 519 86606 1193 992
378 44 43085 1230 985
486 317 18933 1174 988
478 382 32712 1249 990
259 371 28795 1274 981
100 429 150046 1284 986
73 507 97164 1218 981
195 346 49185 1218 986
690 331 46696 1217 982
776 13 253641 1243 985
101 155 78879 1196 980
784 534 120956 1230 985
380 530 30290 1213 988
67 138 121531 1268 980
702 519 112085 1241 981
529 477 35157 1244 977
781 213 80480 1207 984
103 194 46751 1277 991
266 261 32099 1202 988
162 311 50637 1218 983
63 189 112275 1150 982
386 144 21167 1333 986
675 410 115454 1191 986
562 457 50460 1220 990
23 164 129066 1268 989
462 477 25339 1218 984
532 52 61789 1156 978
128 111 75034 1218 985
